"","dataset","sem_model","variable","morans_I","p_value","spat_autocor"
"48","phyto","SEM_fdd","f_dis_residuals",0.300849738329146,0.001,TRUE
"49","rodents","SEM_gdd5","log_stability_residuals",-0.0296573398009023,0.538,FALSE
"50","rodents","SEM_gdd5","log_pop_stab_residuals",0.0145724852944732,0.414,FALSE
"51","rodents","SEM_gdd5","cwm_pc1_residuals",-0.523235829074965,0.999,FALSE
"52","rodents","SEM_gdd5","log_sqrt_async_l_residuals",-0.0571149941524961,0.577,FALSE
"53","rodents","SEM_gdd5","mpd_residuals",-0.0115628227316209,0.439,FALSE
"54","rodents","SEM_gdd5","f_dis_residuals",-0.0632915844379234,0.571,FALSE
"55","rodents","SEM_fdd","log_stability_residuals",-0.0296573398009023,0.51,FALSE
"56","rodents","SEM_fdd","log_pop_stab_residuals",-0.0337282958282495,0.517,FALSE
"57","rodents","SEM_fdd","cwm_pc1_residuals",-0.498234099247249,0.996,FALSE
"58","rodents","SEM_fdd","log_sqrt_async_l_residuals",-0.121403269564142,0.718,FALSE
"59","rodents","SEM_fdd","mpd_residuals",-0.00240486403330393,0.458,FALSE
"60","rodents","SEM_fdd","f_dis_residuals",-0.0807681395830507,0.641,FALSE
"61","wgame","SEM_gdd5","log_stability_residuals",-0.00452567477155546,0.645,FALSE
"62","wgame","SEM_gdd5","log_pop_stab_residuals",0.0615422424872239,0.001,TRUE
"63","wgame","SEM_gdd5","cwm_pc1_residuals",0.0707402485201957,0.001,TRUE
"64","wgame","SEM_gdd5","log_sqrt_async_l_residuals",0.0328843701452982,0.001,TRUE
"65","wgame","SEM_gdd5","mpd_residuals",0.145194000932392,0.001,TRUE
"66","wgame","SEM_gdd5","f_dis_residuals",0.0543407980145759,0.001,TRUE
"67","wgame","SEM_fdd","log_stability_residuals",-0.00452567477155546,0.627,FALSE
"68","wgame","SEM_fdd","log_pop_stab_residuals",0.0632668909393851,0.001,TRUE
"69","wgame","SEM_fdd","cwm_pc1_residuals",0.0719660507844405,0.001,TRUE
"70","wgame","SEM_fdd","log_sqrt_async_l_residuals",0.0304198906689364,0.001,TRUE
"71","wgame","SEM_fdd","mpd_residuals",0.152550672348459,0.001,TRUE
"72","wgame","SEM_fdd","f_dis_residuals",0.0564002494026843,0.001,TRUE
